region_size,percentage_pages,time
1,1,2578065
1,5,2369527
1,10,2449380
1,20,2294459
1,25,2093224
1,50,1656335
1,75,537707
1,80,465282
1,90,541474
1,100,546910
2,1,5389011
2,5,5246758
2,10,4988214
2,20,4487911
2,25,4120647
2,50,2964719
2,75,1034194
2,80,1087044
2,90,951553
2,100,920554
4,1,10033891
4,5,9837673
4,10,9611622
4,20,9038835
4,25,8692395
4,50,6128556
4,75,1901281
4,80,1988881
4,90,2006236
4,100,2129893
8,1,20869762
8,5,20562523
8,10,18512357
8,20,17928939
8,25,16563963
8,50,11799770
8,75,4306173
8,80,4230967
8,90,4118393
8,100,4161594
10,1,26288012
10,5,26022756
10,10,24036360
10,20,21858727
10,25,21015918
10,50,16357152
10,75,5818071
10,80,6083533
10,90,5983693
10,100,5304844
12,1,31704138
12,5,30036754
12,10,30478742
12,20,27668281
12,25,27007970
12,50,19385822
12,75,7263723
12,80,7601807
12,90,9394771
12,100,6704095
16,1,43555496
16,5,41049351
16,10,40861521
16,20,37312203
16,25,35755803
16,50,26648182
16,75,10301766
16,80,10412648
16,90,10012747
16,100,10332795
20,1,53209536
20,5,51650187
20,10,49452546
20,20,46240592
20,25,42175328
20,50,33333877
20,75,14417421
20,80,12881935
20,90,13408729
20,100,13286904
24,1,64182286
24,5,64160038
24,10,60909953
24,20,52509121
24,25,54138678
24,50,40714233
24,75,14983995
24,80,15866834
24,90,15345980
24,100,15212167
